RuleID,Command,Notes
SV-238206r958518,grep sudo /etc/group,Verify the sudo group has only members who should have access to security functions
SV-238215r958908,sudo dpkg -l | grep openssh,Verify the SSH package is installed
SV-238215r958908,"sudo systemctl status sshd.service | egrep -i ""(active|loaded)""","Verify the ""sshd.service"" is loaded and active with the following command"
SV-238380r991589,sudo systemctl status ctrl-alt-del.target,"Check that the ""ctrl-alt-del.target"" (otherwise also known as reboot.target) is not active"
SV-274857r1101692,grep -i ldap_user_certificate /etc/sssd/sssd.conf,"Verify that authenticated certificates are mapped to the appropriate user group in the ""/etc/sssd/sssd.conf"" file"
SV-238205r958482,"awk -F "":"" 'list[$3]++{print $1, $3}' /etc/passwd",Verify the Ubuntu operating system contains no duplicate User IDs (UIDs) for interactive users
SV-238207r1069086,"sudo grep -E ""\bTMOUT=[0-9]+"" /etc/bash.bashrc /etc/profile.d/*","Check that the ""TMOUT"" environment variable is set in the ""/etc/bash.bashrc"" file or in any file inside the ""/etc/profile.d/"" directory"
SV-238243r958424,sudo grep '^action_mail_acct = root' /etc/audit/auditd.conf,Verify that the SA and ISSO (at a minimum) are notified in the event of an audit processing failure
SV-238245r958434,sudo grep -iw log_file /etc/audit/auditd.conf,Determine where the audit logs are stored
SV-238245r958434,"sudo stat -c ""%n %a"" /var/log/audit/*","Using the path of the directory containing the audit logs, determine if the audit log files have a mode of ""0600"" or less"
SV-238246r958434,sudo grep -iw log_file /etc/audit/auditd.conf,Determine where the audit logs are stored
SV-238246r958434,"sudo stat -c ""%n %U"" /var/log/audit/*","Using the path of the directory containing the audit logs, determine if the audit log files are owned by the ""root"" user"
SV-238246r958434,sudo grep -iw log_group /etc/audit/auditd.conf,Determine where the audit logs are stored
SV-238246r958434,"sudo stat -c ""%n %G"" /var/log/audit/*","Using the path of the directory containing the audit log files, determine if the audit log files are owned by the ""root"" group"
SV-238303r991567,egrep '(\/sbin\/(audit|au))' /etc/aide/aide.conf,Check the selection lines that AIDE is configured to add/check
SV-238309r958846,sudo auditctl -l | grep sudo.log,Check the currently configured audit rules
SV-238324r1069955,"grep -E -r '^(auth,authpriv\.\*|daemon\.\*)' /etc/rsyslog.*",Check that remote access methods are being logged
SV-238328r958480,sudo ufw show raw,"Check the firewall configuration for any unnecessary or prohibited functions, ports, protocols, and/or services"
SV-238329r1015153,sudo passwd -S root,Verify the Ubuntu operating system prevents direct logins to the root account
SV-238334r958550,systemctl is-active kdump.service,Verify that kernel core dumps are disabled
SV-238344r991559,"find /bin /sbin /usr/bin /usr/sbin /usr/local/bin /usr/local/sbin -perm /022 -type d -exec stat -c ""%n %a"" '{}' \;",Verify the system commands directories have mode 0755 or less
SV-238345r991559,"sudo find /bin /sbin /usr/bin /usr/sbin /usr/local/bin /usr/local/sbin ! -user root -type d -exec stat -c ""%n %U"" '{}' \;",Verify the system commands directories are owned by root
SV-238346r991559,"sudo find /bin /sbin /usr/bin /usr/sbin /usr/local/bin /usr/local/sbin ! -group root -type d -exec stat -c ""%n %G"" '{}' \;",Verify the system commands directories are group-owned by root
SV-238347r1106136,"sudo find /lib /lib64 /usr/lib /usr/lib64 -type f -name '*.so*' -perm /022 -exec stat -c ""%n %a"" {} +",Check that the systemwide shared library files have mode 0755 or less permissive
SV-238348r991560,"sudo find /lib /lib64 /usr/lib -perm /022 -type d -exec stat -c ""%n %a"" '{}' \;","Verify the system-wide shared library directories ""/lib"", ""/lib64"", and ""/usr/lib have mode 0755 or less permissive"
SV-238349r1106138,"sudo find /lib /lib64 /usr/lib /usr/lib64 -type f -name '*.so*' ! -user root -exec stat -c ""%n %U"" {} +","Verify the systemwide shared library files contained in the directories ""/lib"", ""/lib64"", ""/usr/lib"", and ""/usr/lib64"" are owned by root"
SV-238350r991560,"sudo find /lib /usr/lib /lib64 ! -user root -type d -exec stat -c ""%n %U"" '{}' \;","Verify the system-wide shared library directories ""/lib"", ""/lib64"", and ""/usr/lib"" are owned by root"
SV-238351r1106140,"sudo find /lib /lib64 /usr/lib /usr/lib64 -type f -name '*.so*' ! -group root -exec stat -c ""%n %G"" {} +","Verify the systemwide shared library files contained in the directories ""/lib"", ""/lib64"", ""/usr/lib"", and ""/usr/lib64"" are group owned by root"
SV-238352r991560,"sudo find /lib /usr/lib /lib64 ! -group root -type d -exec stat -c ""%n %G"" '{}' \;","Verify the system-wide library directories ""/lib"", ""/lib64"", and ""/usr/lib"" are group-owned by root"
SV-238355r958672,systemctl is-enabled ufw,Verify the Uncomplicated Firewall is enabled on the system
SV-238355r958672,systemctl is-active ufw,Verify the Uncomplicated Firewall is active on the system
